Pièce-jointe;attachment
navigateur internet;browser
lecteur cd;cd drive
Presse-papier;clipboard
ordinateur de bureau;computer
curseur;cursor
base de données;database
repertoire;directory
compte e-mail;e-mail account
fichier;file
menu fichier;file menu
pare feu;firewall
disquette;floppy disk
disque dur ;hard disk
matériel informatique;hardware
page d'accueil;homepage
boite de reception;inbox
touche;key
clavier;keywoard
ordinateur portable;laptop
lien;link
identifiant;login
boite e-mail;mail box
mémoire;memory
modem;modem
moniteur;monitor
souris;mouse
tapis de souris;mouse pad
réseau;network
mot de passe;password
