a pied;on foot
la navette;the shuttle
la piste cyclable;the cycle lane
la piste d'aterrisage;the runway
la route;a road
la rue ;the street
le boulevard;the boulevard
le métro;the subway
le périphérique;the beltway*
le tramway;the tram
les rails;the railroads
l'autoroute;the highway
un avion;a plane
un bus;a bus
un car;a bus
un taxi;a taxi
un train;a train
un vélo;a bike
une voiture;a car
aller simple ;one way ticket
aller-retour;return ticket
arrivée;arrival
atterir;to land
classe affaire;business class
classe économique;economy class
déclarer;to declare
décoller;to take off
départ;departure
embarquement;boarding
la douane;the customs
